FGI Range,Period (Days),Avg Return (%),Median Return (%),Win Rate (%),Sample Size,Best Return (%),Worst Return (%)
"Extreme Fear",7,0.14,0.20,50.36,280,33.24,-33.23
"Extreme Fear",14,0.24,0.68,52.90,276,38.11,-36.49
"Extreme Fear",30,-0.85,-0.73,48.36,275,56.94,-37.41
"Fear",7,0.69,0.12,51.65,455,35.80,-25.13
"Fear",14,1.49,0.22,51.55,452,39.15,-28.48
"Fear",30,4.54,2.34,56.82,440,74.11,-30.99
"Neutral",7,1.03,0.25,52.29,436,21.80,-15.17
"Neutral",14,2.40,0.79,54.82,436,43.54,-36.06
"Neutral",30,6.82,5.38,59.58,433,53.80,-38.26
"Greed",7,1.08,0.70,55.44,671,38.47,-25.72
"Greed",14,2.20,0.78,55.59,671,47.44,-40.45
"Greed",30,3.97,0.21,50.82,671,81.26,-43.02
"Extreme Greed",7,5.00,3.95,61.59,151,38.27,-21.24
"Extreme Greed",14,9.54,5.14,62.25,151,66.41,-21.88
"Extreme Greed",30,21.87,17.06,74.83,151,120.47,-28.90


Metadata
Data Range,2020-05-28 to 2025-11-18
Total Days,2000
Generated,2025-11-18T23:41:27.352Z
